reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,review_length,word_count,clean_text,rating_sentiment,ai_sentiment,ai_confidence
c216ca84-b34f-4360-8728-b4c1e4844cff,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,nice,5,0,,2026-08-11 15:54:41,,,,4,1,nice,positive,positive,0.9762179851531982
d5936320-b8c5-4223-91d8-507d526e63ee,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,best friend,5,0,6.91.4,2026-08-11 15:53:40,,,6.91.4,11,2,best friend,positive,positive,0.9119303822517395
15074309-6413-4d28-a853-0cb5e80dfcda,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,lavish,1,0,,2026-08-11 15:52:01,,,,6,1,lavish,negative,positive,0.41082003712654114
56333316-4535-477b-b96f-03c822e9db94,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,the application is very useful but please include daily use words to help conversation to easily any person,4,0,6.91.4,2026-08-11 15:51:12,,,6.91.4,107,18,the application is very useful but please include daily use words to help conversation to easily any person,positive,positive,0.6568335294723511
c189331b-2c54-4435-9be1-02860d0c7af3,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,great,5,0,6.91.4,2026-08-11 15:50:38,,,6.91.4,5,1,great,positive,positive,0.9804813265800476
75923bd6-aac5-4a30-a0f2-0968a556b982,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,keeps me motivated,4,0,6.91.4,2026-08-11 15:50:20,,,6.91.4,18,3,keeps me motivated,positive,positive,0.745895266532898
8a92146f-c827-41fa-95f5-1301cf887eff,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Its a lot of good app for learning every language,5,0,5.121.15,2026-08-11 15:49:58,,,5.121.15,49,10,Its a lot of good app for learning every language,positive,positive,0.9756723046302795
17542498-d5ca-4cb0-90c5-bb74e33d15cc,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,খুব ভালো,5,0,6.91.4,2026-08-11 15:49:24,,,6.91.4,8,2,খুব ভালো,positive,positive,0.5235449075698853
e98922cc-48d4-412e-8777-ebf19ac63dcc,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,a very good language learning app,5,0,6.90.3,2026-08-11 15:48:55,,,6.90.3,33,6,a very good language learning app,positive,positive,0.9740155935287476
c3337581-c28c-438b-9771-107249382ba6,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,lovely,5,0,6.91.4,2026-08-11 15:48:02,,,6.91.4,6,1,lovely,positive,positive,0.9862356781959534
